name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Citrobacter sp. CRE-46	1703250	S	5	12	17	0.00000
Citrobacter sp. FDAARGOS_156	1702170	S	4	8	12	0.00000
Citrobacter sp. LUTT5	2697370	S	2	20	22	0.00001
Citrobacter rodentium	67825	S	247	4	251	0.00006
Citrobacter farmeri	67824	S	131	10	141	0.00003
Citrobacter koseri	545	S	114	145	259	0.00006
Citrobacter pasteurii	1563222	S	6	11	17	0.00000
Klebsiella pneumoniae	573	S	1312	1552	2864	0.00070
Klebsiella oxytoca	571	S	532	58	590	0.00014
Klebsiella aerogenes	548	S	236	8	244	0.00006
Klebsiella huaxiensis	2153354	S	162	2	164	0.00004
Klebsiella sp. FDAARGOS_511	2488567	S	132	3	135	0.00003
Klebsiella sp. M5al	1934254	S	4	2	6	0.00000
Klebsiella sp. MPUS7	2697371	S	4	1	5	0.00000
Klebsiella sp. PO552	1972757	S	3	0	3	0.00000
Klebsiella sp. LY	2015795	S	2	2	4	0.00000
Klebsiella michiganensis	1134687	S	93	32	125	0.00003
Klebsiella variicola	244366	S	68	12	80	0.00002
Klebsiella quasipneumoniae	1463165	S	31	16	47	0.00001
Klebsiella quasivariicola	2026240	S	18	6	24	0.00001
Raoultella planticola	575	S	1976	105	2081	0.00051
Raoultella electrica	1259973	S	66	2	68	0.00002
Raoultella ornithinolytica	54291	S	61	49	110	0.00003
Raoultella terrigena	577	S	56	10	66	0.00002
Raoultella sp. NCTC 9189	2583577	S	12	6	18	0.00000
Raoultella sp. X13	2259647	S	3	10	13	0.00000
Cronobacter sakazakii	28141	S	297	161	458	0.00011
Cronobacter condimenti	1163710	S	54	8	62	0.00002
Cronobacter dublinensis	413497	S	46	11	57	0.00001
Cronobacter turicensis	413502	S	41	13	54	0.00001
Cronobacter universalis	535744	S	31	22	53	0.00001
Cronobacter malonaticus	413503	S	14	43	57	0.00001
Cronobacter sp. JZ38	1906275	S	6	29	35	0.00001
Cronobacter muytjensii	413501	S	1	5	6	0.00000
Leclercia sp. 29361	2714951	S	62	4	66	0.00002
Leclercia sp. W17	2282309	S	26	79	105	0.00003
Leclercia sp. W6	2282310	S	15	45	60	0.00001
Leclercia sp. J807	2681307	S	8	17	25	0.00001
Leclercia sp. 119287	2681308	S	5	5	10	0.00000
Leclercia sp. 1106151	2681309	S	2	17	19	0.00000
Leclercia adecarboxylata	83655	S	199	160	359	0.00009
Kosakonia cowanii	208223	S	141	30	171	0.00004
Kosakonia arachidis	551989	S	107	4	111	0.00003
Kosakonia sacchari	1158459	S	92	7	99	0.00002
Kosakonia oryzae	497725	S	54	116	170	0.00004
Kosakonia sp. CCTCC M2018092	2492396	S	26	9	35	0.00001
Kosakonia radicincitans	283686	S	7	45	52	0.00001
[Enterobacter] lignolyticus	1334193	S	405	4	409	0.00010
Pluralibacter gergoviae	61647	S	142	1	143	0.00003
Enterobacteriaceae bacterium strain FGI 57	693444	S	284	1	285	0.00007
Enterobacteriaceae bacterium ENNIH1	2066051	S	151	4	155	0.00004
Plautia stali symbiont	891974	S	13	0	13	0.00000
Enterobacteriaceae bacterium A-F18	2045202	S	9	1	10	0.00000
Enterobacteriaceae endosymbiont of Plateumaris pusilla	2675795	S	4	0	4	0.00000
Enterobacteriaceae bacterium ENNIH3	1920128	S	1	17	18	0.00000
Cedecea neteri	158822	S	157	19	176	0.00004
Cedecea sp. FDAARGOS_727	2545798	S	65	5	70	0.00002
Cedecea lapagei	158823	S	43	8	51	0.00001
Lelliottia amnigena	61646	S	132	3	135	0.00003
Lelliottia sp. WB101	2153385	S	71	6	77	0.00002
Lelliottia jeotgali	1907578	S	62	5	67	0.00002
Lelliottia nimipressuralis	69220	S	13	1	14	0.00000
Kluyvera sp. PO2S7	2705459	S	131	6	137	0.00003
Kluyvera intermedia	61648	S	93	4	97	0.00002
Buttiauxella sp. 3AFRM03	2479367	S	142	4	146	0.00004
Buttiauxella agrestis	82977	S	61	2	63	0.00002
Scandinavium goeteborgense	1851514	S	165	0	165	0.00004
Yokenella regensburgei	158877	S	116	1	117	0.00003
Izhakiella sp. KSNA2	2579935	S	108	0	108	0.00003
Atlantibacter hermannii	565	S	107	0	107	0.00003
Pseudescherichia vulneris	566	S	94	0	94	0.00002
Shimwellia blattae	563	S	72	0	72	0.00002
Candidatus Hamiltonella defensa	138072	S	10	0	10	0.00000
secondary endosymbiont of Ctenarytaina eucalypti	1199245	S	2	0	2	0.00000
secondary endosymbiont of Heteropsylla cubana	134287	S	1	0	1	0.00000
Candidatus Mikella endobia	1778264	S	7	0	7	0.00000
secondary endosymbiont of Trabutina mannipara	1835721	S	4	0	4	0.00000
Candidatus Blochmannia pennsylvanicus	101534	S	1	0	1	0.00000
Candidatus Blochmannia floridanus	203907	S	1	0	1	0.00000
Blochmannia endosymbiont of Camponotus nipponensis	2681986	S	1	0	1	0.00000
Candidatus Hoaglandella endobia	1778263	S	3	0	3	0.00000
Candidatus Doolittlea endobia	1778262	S	2	0	2	0.00000
Candidatus Purcelliella pentastirinorum	472834	S	1	0	1	0.00000
Candidatus Annandia adelgestsuga	1302411	S	1	0	1	0.00000
Candidatus Gullanella endobia	1070130	S	1	0	1	0.00000
Gibbsiella quercinecans	929813	S	31	0	31	0.00001
Limnobaculum parvum	2172103	S	29	0	29	0.00001
Metakosakonia sp. MRY16-398	2487150	S	7	1	8	0.00000
Candidatus Moranella endobia	1048758	S	6	0	6	0.00000
Serratia marcescens	615	S	239	143	382	0.00009
Serratia plymuthica	82996	S	116	8	124	0.00003
Serratia odorifera	618	S	52	0	52	0.00001
Serratia sp. P2ACOL2	2482769	S	8	12	20	0.00000
Serratia sp. JKS000199	1938820	S	7	67	74	0.00002
Serratia sp. ATCC 39006	104623	S	2	0	2	0.00000
Serratia sp. FGI94	671990	S	2	0	2	0.00000
Serratia sp. FDAARGOS_506	2420306	S	2	0	2	0.00000
Serratia sp. 3ACOL1	2448483	S	1	0	1	0.00000
Serratia fonticola	47917	S	18	2	20	0.00000
Serratia symbiotica	138074	S	12	0	12	0.00000
Serratia liquefaciens	614	S	8	3	11	0.00000
Serratia rubidaea	61652	S	3	1	4	0.00000
Yersinia pestis	632	S	28	56	84	0.00002
Yersinia pseudotuberculosis	633	S	17	0	17	0.00000
Yersinia similis	367190	S	1	0	1	0.00000
Yersinia aleksiciae	263819	S	8	0	8	0.00000
Yersinia aldovae	29483	S	3	0	3	0.00000
Yersinia entomophaga	935293	S	3	0	3	0.00000
Yersinia enterocolitica	630	S	2	0	2	0.00000
Yersinia frederiksenii	29484	S	2	7	9	0.00000
Yersinia kristensenii	28152	S	1	0	1	0.00000
Yersinia rohdei	29485	S	1	0	1	0.00000
Yersinia ruckeri	29486	S	1	0	1	0.00000
Nissabacter sp. SGAir0207	2126321	S	11	0	11	0.00000
Rahnella aquatilis	34038	S	3	2	5	0.00000
Rahnella sp. ERMR1:05	1805933	S	1	0	1	0.00000
Chania multitudinisentens	1639108	S	3	0	3	0.00000
Candidatus Fukatsuia symbiotica	1878942	S	3	0	3	0.00000
Rouxiella badensis	1646377	S	2	0	2	0.00000
Pantoea ananatis	553	S	135	3	138	0.00003
Pantoea agglomerans	549	S	31	1	32	0.00001
Pantoea dispersa	59814	S	23	0	23	0.00001
Pantoea sp. SO10	2575375	S	10	0	10	0.00000
Pantoea sp. 201603H	2479547	S	4	0	4	0.00000
Pantoea sp. CCBC3-3-1	2490851	S	1	0	1	0.00000
Pantoea stewartii	66269	S	9	0	9	0.00000
Pantoea vagans	470934	S	5	1	6	0.00000
Pantoea eucalypti	470933	S	3	8	11	0.00000
Pantoea alhagi	1891675	S	2	0	2	0.00000
Pantoea rwandensis	1076550	S	1	0	1	0.00000
Mixta calida	665913	S	104	1	105	0.00003
Mixta gaviniae	665914	S	6	0	6	0.00000
Mixta theicola	1458355	S	5	0	5	0.00000
Mixta intestinalis	1615494	S	5	0	5	0.00000
Erwinia billingiae	182337	S	18	27	45	0.00001
Erwinia amylovora	552	S	12	6	18	0.00000
Erwinia gerundensis	1619313	S	7	0	7	0.00000
Erwinia pyrifoliae	79967	S	2	1	3	0.00000
Erwinia sp. Ejp617	215689	S	1	0	1	0.00000
Erwinia sp. J780	2681984	S	1	0	1	0.00000
Erwinia persicina	55211	S	1	0	1	0.00000
Candidatus Erwinia haradaeae	1922217	S	1	0	1	0.00000
Buchnera aphidicola	9	S	12	0	12	0.00000
Tatumella sp. TA1	2487345	S	4	0	4	0.00000
Tatumella citrea	53336	S	3	0	3	0.00000
Erwiniaceae bacterium PD-1	2740817	S	3	0	3	0.00000
Dickeya poaceiphila	568768	S	145	5	150	0.00004
Dickeya sp. NCPPB 3274	568766	S	2	42	44	0.00001
Dickeya dadantii	204038	S	17	1	18	0.00000
Dickeya solani	1089444	S	7	0	7	0.00000
Dickeya zeae	204042	S	5	0	5	0.00000
Dickeya paradisiaca	69223	S	2	1	3	0.00000
Dickeya chrysanthemi	556	S	1	0	1	0.00000
Dickeya dianthicola	204039	S	1	1	2	0.00000
Dickeya fangzhongdai	1778540	S	1	1	2	0.00000
Pectobacterium odoriferum	78398	S	45	11	56	0.00001
Pectobacterium wasabiae	55208	S	15	1	16	0.00000
Pectobacterium brasiliense	180957	S	5	1	6	0.00000
Pectobacterium carotovorum	554	S	4	3	7	0.00000
Pectobacterium polaris	2042057	S	1	0	1	0.00000
Pectobacterium punjabense	2108399	S	1	0	1	0.00000
Candidatus Sodalis pierantonius	1486991	S	9	0	9	0.00000
Sodalis glossinidius	63612	S	8	0	8	0.00000
Sodalis praecaptivus	1239307	S	1	0	1	0.00000
Brenneria goodwinii	1109412	S	3	6	9	0.00000
Brenneria rubrifaciens	55213	S	1	7	8	0.00000
Lonsdalea britannica	1082704	S	2	0	2	0.00000
Providencia stuartii	588	S	84	47	131	0.00003
Proteus hauseri	183417	S	44	1	45	0.00001
Proteus mirabilis	584	S	10	3	13	0.00000
Proteus vulgaris	585	S	1	0	1	0.00000
Morganella morganii	582	S	15	8	23	0.00001
Xenorhabdus doucetiae	351671	S	6	0	6	0.00000
Xenorhabdus poinarii	40577	S	3	0	3	0.00000
Xenorhabdus nematophila	628	S	2	0	2	0.00000
Xenorhabdus bovienii	40576	S	2	0	2	0.00000
Photorhabdus laumondii	2218628	S	2	1	3	0.00000
Photorhabdus thracensis	230089	S	1	0	1	0.00000
Photorhabdus asymbiotica	291112	S	1	0	1	0.00000
Arsenophonus nasoniae	638	S	4	0	4	0.00000
Edwardsiella tarda	636	S	31	3	34	0.00001
Edwardsiella hoshinae	93378	S	5	0	5	0.00000
Edwardsiella anguillarum	1821960	S	3	19	22	0.00001
Edwardsiella ictaluri	67780	S	2	0	2	0.00000
Edwardsiella piscicida	1263550	S	1	0	1	0.00000
Hafnia alvei	569	S	1	6	7	0.00000
Phytobacter ursingii	1972431	S	6	0	6	0.00000
Phytobacter diazotrophicus	395631	S	1	0	1	0.00000
Plesiomonas shigelloides	703	S	1	0	1	0.00000
Leminorella richardii	158841	S	1	0	1	0.00000
Pragia sp. CF-458	2498113	S	1	0	1	0.00000
Pseudomonas aeruginosa	287	S	108673	144144	252817	0.06164
Pseudomonas oleovorans	301	S	401	99	500	0.00012
Pseudomonas furukawaii	1149133	S	96	1	97	0.00002
Pseudomonas mendocina	300	S	390	6	396	0.00010
Pseudomonas citronellolis	53408	S	297	5	302	0.00007
Pseudomonas nitroreducens	46680	S	132	18	150	0.00004
Pseudomonas multiresinivorans	95301	S	77	10	87	0.00002
Pseudomonas alcaligenes	43263	S	75	0	75	0.00002
Pseudomonas resinovorans	53412	S	62	0	62	0.00002
Pseudomonas sp. CMR5c	658630	S	1625	129	1754	0.00043
Pseudomonas sp. S-6-2	1931241	S	864	1	865	0.00021
Pseudomonas sp. TKP	1415630	S	479	345	824	0.00020
Pseudomonas sp. TUM18999	2725477	S	347	6	353	0.00009
Pseudomonas sp. S35	1573719	S	326	16	342	0.00008
Pseudomonas sp. R2A2	2213057	S	318	104	422	0.00010
Pseudomonas sp. SCB32	2653853	S	233	4	237	0.00006
Pseudomonas sp. R84	1573712	S	203	20	223	0.00005
Pseudomonas sp. NC02	2067572	S	194	227	421	0.00010
Pseudomonas sp. 02C 26	2054914	S	193	1	194	0.00005
Pseudomonas sp. K2W31S-8	2320867	S	132	0	132	0.00003
Pseudomonas sp. TCU-HL1	1856685	S	123	1	124	0.00003
Pseudomonas sp. PE08	2604832	S	118	1	119	0.00003
Pseudomonas sp. ATCC 13867	1294143	S	83	2	85	0.00002
Pseudomonas sp. LG1E9	2219057	S	79	5	84	0.00002
Pseudomonas sp. S1-A32-2	2731681	S	79	0	79	0.00002
Pseudomonas sp. FDAARGOS_761	2545800	S	78	436	514	0.00013
Pseudomonas sp. CMR12a	658629	S	70	114	184	0.00004
Pseudomonas sp. AK6U	1978467	S	68	906	974	0.00024
Pseudomonas sp. StFLB209	1028989	S	67	0	67	0.00002
Pseudomonas sp. HLS-6	2049589	S	65	1	66	0.00002
Pseudomonas sp. R76	1573711	S	61	3	64	0.00002
Pseudomonas sp. C27(2019)	2604941	S	56	0	56	0.00001
Pseudomonas sp. ABC1	2748080	S	56	0	56	0.00001
Pseudomonas sp. 7SR1	1881017	S	55	0	55	0.00001
Pseudomonas sp. DY-1	1755504	S	55	0	55	0.00001
Pseudomonas sp. B10	118613	S	53	6	59	0.00001
Pseudomonas sp. CCOS 191	1649877	S	48	5	53	0.00001
Pseudomonas sp. CC6-YY-74	1930532	S	46	0	46	0.00001
Pseudomonas sp. SNU WT1	2518644	S	40	0	40	0.00001
Pseudomonas sp. DTU12.3	2073078	S	37	1	38	0.00001
Pseudomonas sp. R32	1573704	S	28	0	28	0.00001
Pseudomonas sp. VLB120	69328	S	25	130	155	0.00004
Pseudomonas sp. SK	2729423	S	24	0	24	0.00001
Pseudomonas sp. M30-35	1981174	S	23	0	23	0.00001
Pseudomonas sp. MYb193	1827300	S	23	9	32	0.00001
Pseudomonas sp. SXM-1	2169583	S	19	20	39	0.00001
Pseudomonas sp. ATCC 43928	676210	S	17	21	38	0.00001
Pseudomonas sp. LTJR-52	2479392	S	17	1	18	0.00000
Pseudomonas sp. ADAK18	2730848	S	17	0	17	0.00000
Pseudomonas sp. IB20	1702250	S	17	1	18	0.00000
Pseudomonas sp. OIL-1	2706126	S	15	0	15	0.00000
Pseudomonas sp. ADAK13	2730847	S	15	0	15	0.00000
Pseudomonas sp. Z003-0.4C(8344-21)	1855380	S	15	2	17	0.00000
Pseudomonas sp. DR 5-09	1534110	S	14	2	16	0.00000
Pseudomonas sp. NP-1	2599595	S	14	0	14	0.00000
Pseudomonas sp. NS1(2017)	2025658	S	14	0	14	0.00000
Pseudomonas sp. 14181154	2662033	S	14	2	16	0.00000
Pseudomonas sp. UW4	1207075	S	14	0	14	0.00000
Pseudomonas sp. BIOMIG1BAC	1758730	S	13	18	31	0.00001
Pseudomonas sp. 13159349	2662034	S	13	19	32	0.00001
Pseudomonas sp. 31-12	2201356	S	12	0	12	0.00000
Pseudomonas sp. Leaf58	1736226	S	12	0	12	0.00000
Pseudomonas sp. phDV1	253237	S	11	5	16	0.00000
Pseudomonas sp. MRSN12121	1611770	S	11	3	14	0.00000
Pseudomonas sp. S34	1573718	S	11	0	11	0.00000
Pseudomonas sp. LPH1	1898684	S	10	0	10	0.00000
Pseudomonas sp. LAB-08	143813	S	10	0	10	0.00000
Pseudomonas sp. S09G 359	2054919	S	10	0	10	0.00000
Pseudomonas sp. THAF7b	2587845	S	9	3	12	0.00000
Pseudomonas sp. URMO17WK12:I11	1283291	S	9	2	11	0.00000
Pseudomonas sp. Os17	1500686	S	9	10	19	0.00000
Pseudomonas sp. 11K1	2505979	S	8	0	8	0.00000
Pseudomonas sp. S150	2559074	S	8	2	10	0.00000
Pseudomonas sp. gcc21	2726989	S	7	0	7	0.00000
Pseudomonas sp. NIBRBAC000502773	2590776	S	6	0	6	0.00000
Pseudomonas sp. ACM7	2052956	S	5	0	5	0.00000
Pseudomonas sp. TMW 2.1634	1886807	S	5	6	11	0.00000
Pseudomonas sp. FGI182	1259844	S	5	1	6	0.00000
Pseudomonas sp. S49	1573720	S	4	4	8	0.00000
Pseudomonas sp. R4-34-07	658642	S	4	11	15	0.00000
Pseudomonas sp. R3-52-08	1173284	S	4	12	16	0.00000
Pseudomonas sp. GR 6-02	1659194	S	4	5	9	0.00000
Pseudomonas sp. SWI7	2587597	S	4	9	13	0.00000
Pseudomonas sp. LG1D9	2083054	S	3	5	8	0.00000
Pseudomonas sp. DG56-2	2320270	S	3	0	3	0.00000
Pseudomonas sp. RU47	2005388	S	3	3	6	0.00000
Pseudomonas sp. FDAARGOS_380	2018067	S	3	0	3	0.00000
Pseudomonas sp. 43A	2743971	S	3	0	3	0.00000
Pseudomonas sp. CFSAN084952	2664899	S	2	2	4	0.00000
Pseudomonas sp. KUIN-1	2609418	S	2	4	6	0.00000
Pseudomonas sp. DTU12.1	2654238	S	2	3	5	0.00000
Pseudomonas sp. PONIH3	1636610	S	2	1	3	0.00000
Pseudomonas sp. MPC6	2498848	S	2	0	2	0.00000
Pseudomonas sp. R2-37-08W	1173273	S	2	4	6	0.00000
Pseudomonas sp. R5-89-07	658644	S	2	0	2	0.00000
Pseudomonas sp. R3-18-08	1173283	S	1	1	2	0.00000
Pseudomonas sp. 09C 129	2054915	S	1	0	1	0.00000
Pseudomonas sp. XWY-1	2069256	S	1	0	1	0.00000
Pseudomonas sp. SWI6	2083051	S	1	7	8	0.00000
Pseudomonas sp. SWI36	2083052	S	1	0	1	0.00000
Pseudomonas sp. J380	2605424	S	1	0	1	0.00000
Pseudomonas sp. LH1G9	2083055	S	1	0	1	0.00000
Pseudomonas sp. SWI44	2083053	S	1	4	5	0.00000
Pseudomonas sp. BJP69	2597770	S	1	0	1	0.00000
Pseudomonas sp. R4-39-08	1173288	S	1	3	4	0.00000
Pseudomonas sp. R11-23-07	658632	S	1	4	5	0.00000
Pseudomonas fluorescens	294	S	885	216	1101	0.00027
Pseudomonas azotoformans	47878	S	206	50	256	0.00006
Pseudomonas protegens	380021	S	112	3	115	0.00003
Pseudomonas veronii	76761	S	86	34	120	0.00003
Pseudomonas synxantha	47883	S	57	28	85	0.00002
Pseudomonas corrugata	47879	S	29	3	32	0.00001
Pseudomonas rhodesiae	76760	S	29	2	31	0.00001
Pseudomonas orientalis	76758	S	26	3	29	0.00001
Pseudomonas extremorientalis	169669	S	24	8	32	0.00001
Pseudomonas mucidolens	46679	S	20	0	20	0.00001
Pseudomonas trivialis	200450	S	15	2	17	0.00000
Pseudomonas tolaasii	29442	S	14	1	15	0.00000
Pseudomonas poae	200451	S	12	2	14	0.00000
Pseudomonas mediterranea	183795	S	11	1	12	0.00000
Pseudomonas brenneri	129817	S	6	0	6	0.00000
Pseudomonas cedrina	651740	S	4	0	4	0.00000
Pseudomonas mandelii	75612	S	1	0	1	0.00000
Pseudomonas libanensis	75588	S	1	0	1	0.00000
Pseudomonas stutzeri	316	S	1141	84	1225	0.00030
Pseudomonas balearica	74829	S	142	8	150	0.00004
Pseudomonas luteola	47886	S	73	5	78	0.00002
Pseudomonas xanthomarina	271420	S	16	0	16	0.00000
Pseudomonas putida	303	S	612	207	819	0.00020
Pseudomonas oryzihabitans	47885	S	260	1	261	0.00006
Pseudomonas fulva	47880	S	143	167	310	0.00008
Pseudomonas monteilii	76759	S	33	14	47	0.00001
Pseudomonas plecoglossicida	70775	S	14	5	19	0.00000
Pseudomonas mosselii	78327	S	2	2	4	0.00000
Pseudomonas sp. SGAir0191	2217867	S	2	0	2	0.00000
Pseudomonas chlororaphis	587753	S	243	18	261	0.00006
Pseudomonas taetrolens	47884	S	75	0	75	0.00002
Psychrobacter sp. FME2	86185	S	52	0	52	0.00001
Pseudomonas fragi	296	S	13	4	17	0.00000
Pseudomonas entomophila	312306	S	276	7	283	0.00007
Pseudomonas alcaliphila	101564	S	264	39	303	0.00007
Pseudomonas syringae	317	S	65	86	151	0.00004
Pseudomonas coronafaciens	53409	S	29	0	29	0.00001
Pseudomonas viridiflava	33069	S	20	0	20	0.00000
Pseudomonas fuscovaginae	50340	S	15	2	17	0.00000
Pseudomonas asturiensis	1190415	S	14	0	14	0.00000
Pseudomonas cichorii	36746	S	6	0	6	0.00000
Pseudomonas amygdali	47877	S	4	2	6	0.00000
Pseudomonas syringae group genomosp. 3	251701	S	3	27	30	0.00001
Pseudomonas psychrotolerans	237610	S	162	0	162	0.00004
Pseudomonas knackmussii	65741	S	147	2	149	0.00004
Pseudomonas alkylphenolica	237609	S	131	1	132	0.00003
Pseudomonas oryzae	1392877	S	102	0	102	0.00003
Pseudomonas salegens	1434072	S	98	0	98	0.00002
Pseudomonas frederiksbergensis	104087	S	91	5	96	0.00002
Pseudomonas otitidis	319939	S	84	0	84	0.00002
Pseudomonas litoralis	797277	S	72	0	72	0.00002
Pseudomonas guangdongensis	1245526	S	70	0	70	0.00002
Pseudomonas denitrificans (nom. rej.)	43306	S	67	1	68	0.00002
Pseudomonas silesiensis	1853130	S	66	1	67	0.00002
Pseudomonas graminis	158627	S	59	0	59	0.00001
Pseudomonas pohangensis	364197	S	55	0	55	0.00001
Pseudomonas cerasi	1583341	S	49	26	75	0.00002
Pseudomonas cremoricolorata	157783	S	49	0	49	0.00001
Pseudomonas sabulinigri	472181	S	46	0	46	0.00001
Pseudomonas parafulva	157782	S	41	1	42	0.00001
Pseudomonas pelagia	553151	S	39	0	39	0.00001
Pseudomonas moraviensis	321662	S	38	4	42	0.00001
Pseudomonas granadensis	1421430	S	36	4	40	0.00001
Pseudomonas saudiphocaensis	1499686	S	33	0	33	0.00001
Pseudomonas marincola	437900	S	32	0	32	0.00001
Pseudomonas lurida	244566	S	29	1	30	0.00001
Pseudomonas umsongensis	198618	S	29	0	29	0.00001
Pseudomonas sihuiensis	1274359	S	28	4	32	0.00001
Pseudomonas vancouverensis	95300	S	28	0	28	0.00001
Pseudomonas rhizosphaerae	216142	S	28	0	28	0.00001
Pseudomonas psychrophila	122355	S	28	0	28	0.00001
Pseudomonas xinjiangensis	487184	S	20	0	20	0.00000
Pseudomonas lini	163011	S	19	0	19	0.00000
Pseudomonas agarici	46677	S	16	0	16	0.00000
Pseudomonas antarctica	219572	S	16	0	16	0.00000
Pseudomonas koreensis	198620	S	14	0	14	0.00000
Pseudomonas extremaustralis	359110	S	13	0	13	0.00000
Pseudomonas prosekii	1148509	S	12	0	12	0.00000
Pseudomonas simiae	321846	S	11	0	11	0.00000
Pseudomonas palleroniana	191390	S	10	0	10	0.00000
Pseudomonas yamanorum	515393	S	8	0	8	0.00000
Pseudomonas reinekei	395598	S	8	0	8	0.00000
Pseudomonas kribbensis	1628086	S	6	0	6	0.00000
Pseudomonas versuta	1788301	S	6	0	6	0.00000
Pseudomonas brassicacearum	930166	S	5	5	10	0.00000
Pseudomonas soli	1306993	S	4	2	6	0.00000
Pseudomonas asplenii	53407	S	3	0	3	0.00000
Pseudomonas lactis	1615674	S	3	0	3	0.00000
Pseudomonas thivervalensis	86265	S	2	0	2	0.00000
Candidatus Pseudomonas adelgestsugas	1302376	S	2	0	2	0.00000
Azotobacter salinestris	69964	S	86	63	149	0.00004
Azotobacter chroococcum	353	S	59	42	101	0.00002
Azotobacter vinelandii	354	S	51	0	51	0.00001
Permianibacter aggregans	1510150	S	19	0	19	0.00000
Pseudomonadaceae bacterium SI-3	2079806	S	5	1	6	0.00000
Oblitimonas alkaliphila	1697053	S	1	0	1	0.00000
Acinetobacter guillouiae	106649	S	4625	273	4898	0.00119
Acinetobacter sp. MYb10	1827285	S	3379	203	3582	0.00087
Acinetobacter sp. WCHA45	2004644	S	400	31	431	0.00011
Acinetobacter sp. TTH0-4	1646498	S	126	3	129	0.00003
Acinetobacter sp. TGL-Y2	1407071	S	104	0	104	0.00003
Acinetobacter sp. C16S1	2609668	S	99	9	108	0.00003
Acinetobacter sp. NEB 394	2743575	S	79	21	100	0.00002
