name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacillus pumilus	1408	S	88	41	129	0.00003
Bacillus smithii	1479	S	88	1	89	0.00002
Bacillus vietnamensis	218284	S	88	0	88	0.00002
Bacillus coagulans	1398	S	73	0	73	0.00002
Bacillus gobiensis	1441095	S	54	0	54	0.00001
Bacillus safensis	561879	S	49	8	57	0.00001
Bacillus marisflavi	189381	S	48	0	48	0.00001
Bacillus flexus	86664	S	47	0	47	0.00001
Bacillus infantis	324767	S	43	0	43	0.00001
Bacillus circulans	1397	S	41	0	41	0.00001
Bacillus horikoshii	79883	S	39	0	39	0.00001
Bacillus ciccensis	1670641	S	19	0	19	0.00000
Bacillus methanolicus	1471	S	18	0	18	0.00000
Bacillus filamentosus	1402861	S	17	0	17	0.00000
Bacillus lentus	1467	S	10	0	10	0.00000
Bacillus miscanthi	2598861	S	7	0	7	0.00000
Bacillus thermoamylovorans	35841	S	7	0	7	0.00000
[Brevibacterium] frigoritolerans	450367	S	5	0	5	0.00000
Bacillus weihaiensis	1547283	S	4	0	4	0.00000
Bacillus simplex	1478	S	3	0	3	0.00000
Bacillus cellulosilyticus	1413	S	3	0	3	0.00000
Bacillus xiamenensis	1178537	S	1	1	2	0.00000
Alkalihalobacillus halodurans	86665	S	5523	19	5542	0.00140
Alkalihalobacillus pseudofirmus	79885	S	45	0	45	0.00001
Alkalihalobacillus clausii	79880	S	9	0	9	0.00000
Alkalihalobacillus lehensis	300825	S	3	0	3	0.00000
Geobacillus genomosp. 3	1921421	S	39	22	61	0.00002
Geobacillus sp. WCH70	471223	S	13	17	30	0.00001
Geobacillus sp. C56-T3	691437	S	2	39	41	0.00001
Geobacillus sp. GHH01	1233873	S	2	47	49	0.00001
Geobacillus subterraneus	129338	S	10	13	23	0.00001
Virgibacillus necropolis	163877	S	52	0	52	0.00001
Virgibacillus sp. SK37	403957	S	39	2	41	0.00001
Virgibacillus sp. Bac332	2419842	S	3	0	3	0.00000
Virgibacillus phasianinus	2017483	S	1	0	1	0.00000
Halobacillus halophilus	1570	S	76	0	76	0.00002
Halobacillus mangrovi	402384	S	4	0	4	0.00000
Lysinibacillus sp. 2017	2169540	S	17	0	17	0.00000
Lysinibacillus sp. SGAir0095	2070463	S	2	0	2	0.00000
Lysinibacillus timonensis	2086577	S	9	0	9	0.00000
Lysinibacillus sphaericus	1421	S	5	9	14	0.00000
Lysinibacillus fusiformis	28031	S	2	3	5	0.00000
Oceanobacillus kimchii	746691	S	9	0	9	0.00000
Oceanobacillus sp. 160	2052660	S	8	0	8	0.00000
Bacillaceae bacterium TKL69	2594883	S	14	0	14	0.00000
Bacillaceae bacterium C02	2654284	S	2	49	51	0.00001
Anoxybacillus sp. PDR2	1636720	S	1	7	8	0.00000
Anoxybacillus amylolyticus	294699	S	3	0	3	0.00000
Anoxybacillus flavithermus	33934	S	1	0	1	0.00000
Aeribacillus pallidus	33936	S	10	0	10	0.00000
Lentibacillus sp. CBA3610	2518176	S	6	0	6	0.00000
Lentibacillus amyloliquefaciens	1472767	S	2	0	2	0.00000
Mesobacillus jeotgali	129985	S	4	0	4	0.00000
Mesobacillus foraminis	279826	S	3	0	3	0.00000
Parageobacillus thermoglucosidasius	1426	S	4	0	4	0.00000
Parageobacillus genomosp. 1	1295642	S	3	0	3	0.00000
Gracilibacillus sp. SCU50	2663022	S	6	0	6	0.00000
Salimicrobium jeotgali	1230341	S	4	0	4	0.00000
Peribacillus asahii	228899	S	3	1	4	0.00000
Salicibibacter kimchii	2099786	S	2	1	3	0.00000
Psychrobacillus sp. AK 1817	2303505	S	2	0	2	0.00000
Psychrobacillus glaciei	2283160	S	1	0	1	0.00000
Paraliobacillus sp. X-1125	2213194	S	2	0	2	0.00000
Fictibacillus phosphorivorans	1221500	S	1	0	1	0.00000
Terribacillus goriensis	386490	S	1	0	1	0.00000
Cytobacillus oceanisediminis	665099	S	1	0	1	0.00000
Pontibacillus sp. HMF3514	2692425	S	1	0	1	0.00000
Neobacillus mesonae	1193713	S	1	0	1	0.00000
Metabacillus litoralis	152268	S	1	0	1	0.00000
Staphylococcus aureus	1280	S	162655	10392	173047	0.04382
Staphylococcus saprophyticus	29385	S	449	3	452	0.00011
Staphylococcus hominis	1290	S	149	1	150	0.00004
Staphylococcus pseudintermedius	283734	S	113	1	114	0.00003
Staphylococcus haemolyticus	1283	S	100	1	101	0.00003
Staphylococcus epidermidis	1282	S	88	3	91	0.00002
Staphylococcus pasteuri	45972	S	39	0	39	0.00001
Staphylococcus capitis	29388	S	39	0	39	0.00001
Staphylococcus equorum	246432	S	33	5	38	0.00001
Staphylococcus lugdunensis	28035	S	29	0	29	0.00001
Staphylococcus warneri	1292	S	27	1	28	0.00001
Staphylococcus schweitzeri	1654388	S	23	0	23	0.00001
Staphylococcus caprae	29380	S	21	0	21	0.00001
Staphylococcus auricularis	29379	S	20	0	20	0.00001
Staphylococcus sciuri	1296	S	18	0	18	0.00000
Staphylococcus pettenkoferi	170573	S	12	0	12	0.00000
Staphylococcus condimenti	70255	S	10	0	10	0.00000
Staphylococcus argenteus	985002	S	8	3	11	0.00000
Staphylococcus xylosus	1288	S	8	0	8	0.00000
Staphylococcus cohnii	29382	S	7	0	7	0.00000
Staphylococcus nepalensis	214473	S	7	0	7	0.00000
Staphylococcus felis	46127	S	7	0	7	0.00000
Staphylococcus simiae	308354	S	6	0	6	0.00000
Staphylococcus chromogenes	46126	S	4	0	4	0.00000
Staphylococcus muscae	1294	S	4	0	4	0.00000
Staphylococcus schleiferi	1295	S	4	0	4	0.00000
Staphylococcus simulans	1286	S	3	0	3	0.00000
Staphylococcus sp. M0911	2025492	S	3	0	3	0.00000
Staphylococcus stepanovicii	643214	S	2	0	2	0.00000
Staphylococcus succinus	61015	S	2	0	2	0.00000
Staphylococcus agnetis	985762	S	2	0	2	0.00000
Staphylococcus lutrae	155085	S	1	0	1	0.00000
Staphylococcus vitulinus	71237	S	1	0	1	0.00000
Staphylococcus kloosii	29384	S	1	0	1	0.00000
Macrococcus caseolyticus	69966	S	15	2	17	0.00000
Macrococcus canis	1855823	S	1	0	1	0.00000
Auricoccus indicus	1849491	S	12	0	12	0.00000
Jeotgalicoccus saudimassiliensis	1461582	S	7	0	7	0.00000
Salinicoccus halodurans	407035	S	3	0	3	0.00000
Paenibacillus sp. RUD330	2023772	S	38	4	42	0.00001
Paenibacillus sp. UniB2	2726185	S	19	17	36	0.00001
Paenibacillus sp. B01	2660554	S	10	8	18	0.00000
Paenibacillus sp. IHB B 3084	867076	S	5	0	5	0.00000
Paenibacillus sp. FSL H7-0357	1536774	S	5	0	5	0.00000
Paenibacillus sp. E222	2748863	S	2	0	2	0.00000
Paenibacillus sp. 14171R-81	2704463	S	2	0	2	0.00000
Paenibacillus sp. IHBB 10380	1566358	S	2	0	2	0.00000
Paenibacillus sp. BIHB4019	1870819	S	1	0	1	0.00000
Paenibacillus sp. 12200R-189	2704462	S	1	0	1	0.00000
Paenibacillus sp. JDR-2	324057	S	1	0	1	0.00000
Paenibacillus sp. 32O-W	1695218	S	1	0	1	0.00000
Paenibacillus sp. CAA11	1532905	S	1	0	1	0.00000
Paenibacillus stellifer	169760	S	79	3	82	0.00002
Paenibacillus beijingensis	1126833	S	78	2	80	0.00002
Paenibacillus larvae	1464	S	63	6	69	0.00002
Paenibacillus bovis	1616788	S	46	1	47	0.00001
Paenibacillus cellulosilyticus	375489	S	43	1	44	0.00001
Paenibacillus mucilaginosus	61624	S	20	1	21	0.00001
Paenibacillus ihbetae	1870820	S	17	0	17	0.00000
Paenibacillus thiaminolyticus	49283	S	13	0	13	0.00000
Paenibacillus odorifer	189426	S	10	0	10	0.00000
Paenibacillus yonginensis	1462996	S	8	1	9	0.00000
Paenibacillus antarcticus	253703	S	8	0	8	0.00000
Paenibacillus polymyxa	1406	S	7	28	35	0.00001
Paenibacillus barcinonensis	198119	S	6	0	6	0.00000
Paenibacillus physcomitrellae	1619311	S	6	0	6	0.00000
Paenibacillus crassostreae	1763538	S	3	0	3	0.00000
Paenibacillus naphthalenovorans	162209	S	2	0	2	0.00000
Paenibacillus lutimineralis	2707005	S	2	0	2	0.00000
Paenibacillus albus	2495582	S	2	0	2	0.00000
Paenibacillus baekrokdamisoli	1712516	S	2	0	2	0.00000
Paenibacillus borealis	160799	S	1	0	1	0.00000
Paenibacillus guangzhouensis	1473112	S	1	0	1	0.00000
Paenibacillus lentus	1338368	S	1	0	1	0.00000
Paenibacillus graminis	189425	S	1	0	1	0.00000
Paenibacillus chitinolyticus	79263	S	1	0	1	0.00000
Paenibacillus xylanilyticus	248903	S	1	0	1	0.00000
Brevibacillus agri	51101	S	164	9	173	0.00004
Brevibacillus brevis	1393	S	56	14	70	0.00002
Brevibacillus laterosporus	1465	S	50	111	161	0.00004
Brevibacillus sp. SCSIO 07484	2496837	S	17	0	17	0.00000
Brevibacillus sp. 7WMA2	2683193	S	3	40	43	0.00001
Brevibacillus formosus	54913	S	4	3	7	0.00000
Saccharibacillus brassicae	2583377	S	49	0	49	0.00001
Aneurinibacillus soli	1500254	S	3	0	3	0.00000
Cohnella candidum	2674991	S	2	0	2	0.00000
Sporosarcina sp. P37	1930546	S	3	51	54	0.00001
Sporosarcina pasteurii	1474	S	10	5	15	0.00000
Sporosarcina ureae	1571	S	2	0	2	0.00000
Solibacillus silvestris	76853	S	56	2	58	0.00001
Solibacillus sp. R5-41	2048654	S	13	0	13	0.00000
Planococcus sp. MB-3u-03	2058136	S	16	7	23	0.00001
Planococcus sp. Y42	2213202	S	3	0	3	0.00000
Planococcus sp. PAMC 21323	1526927	S	1	0	1	0.00000
Planococcus plakortidis	1038856	S	5	1	6	0.00000
Planococcus halocryophilus	1215089	S	4	1	5	0.00000
Planococcus maritimus	192421	S	2	0	2	0.00000
Planococcus rifietoensis	200991	S	2	1	3	0.00000
Jeotgalibacillus malaysiensis	1508404	S	5	0	5	0.00000
Ureibacillus thermosphaericus	51173	S	4	0	4	0.00000
Kurthia sp. 11kri321	1750719	S	3	0	3	0.00000
Planomicrobium glaciei	459472	S	2	0	2	0.00000
Paenisporosarcina antarctica	417367	S	1	0	1	0.00000
Paenisporosarcina sp. K2R23-3	2320858	S	1	0	1	0.00000
Rummeliibacillus stabekisii	241244	S	1	0	1	0.00000
Staphylospora marina	2490858	S	26	0	26	0.00001
Novibacillus thermophilus	1471761	S	10	0	10	0.00000
Laceyella sacchari	37482	S	7	0	7	0.00000
Kroppenstedtia eburnea	714067	S	2	0	2	0.00000
Kroppenstedtia pulmonis	1380685	S	1	0	1	0.00000
Thermoactinomyces vulgaris	2026	S	1	0	1	0.00000
Gemella haemolysans	1379	S	7	0	7	0.00000
Gemella morbillorum	29391	S	3	0	3	0.00000
Gemella sanguinis	84135	S	2	0	2	0.00000
Exiguobacterium antarcticum	132920	S	1	2	3	0.00000
Kyrpidia tusciae	33943	S	1	1	2	0.00000
Kyrpidia spormannii	2055160	S	1	0	1	0.00000
Sporolactobacillus terrae	269673	S	3	0	3	0.00000
[Bacillus] selenitireducens	85683	S	1	0	1	0.00000
Lactobacillus fermentum	1613	S	639312	9296	648608	0.16426
Lactobacillus plantarum	1590	S	184	374	558	0.00014
Lactobacillus helveticus	1587	S	132	31	163	0.00004
Lactobacillus brevis	1580	S	126	1	127	0.00003
Lactobacillus delbrueckii	1584	S	79	2	81	0.00002
Lactobacillus sanfranciscensis	1625	S	76	0	76	0.00002
Lactobacillus paracasei	1597	S	66	7	73	0.00002
Lactobacillus sakei	1599	S	57	0	57	0.00001
Lactobacillus reuteri	1598	S	45	0	45	0.00001
Lactobacillus harbinensis	304207	S	45	0	45	0.00001
Lactobacillus acidophilus	1579	S	42	13	55	0.00001
Lactobacillus frumenti	104955	S	39	0	39	0.00001
Lactobacillus gastricus	227942	S	22	0	22	0.00001
Lactobacillus koreensis	637971	S	19	0	19	0.00000
Lactobacillus kefiri	33962	S	18	0	18	0.00000
Lactobacillus bombi	1303590	S	16	0	16	0.00000
Lactobacillus jinshani	1720083	S	15	0	15	0.00000
Lactobacillus nagelii	82688	S	14	0	14	0.00000
Lactobacillus coryniformis	1610	S	13	0	13	0.00000
Lactobacillus sp. BHWM-4	2419772	S	5	0	5	0.00000
Lactobacillus sp. D1501	2108362	S	2	6	8	0.00000
Lactobacillus sp. JM1	2690380	S	2	8	10	0.00000
Lactobacillus sp. CBA3606	2099789	S	1	1	2	0.00000
Lactobacillus sp. C25	2692757	S	1	0	1	0.00000
Lactobacillus salivarius	1624	S	11	0	11	0.00000
Lactobacillus paracollinoides	240427	S	10	0	10	0.00000
Lactobacillus pontis	35787	S	9	0	9	0.00000
Lactobacillus manihotivorans	88233	S	9	0	9	0.00000
Lactobacillus pentosus	1589	S	8	0	8	0.00000
Lactobacillus backii	375175	S	8	0	8	0.00000
Lactobacillus rossiae	231049	S	8	0	8	0.00000
Lactobacillus hordei	468911	S	7	0	7	0.00000
Lactobacillus bifermentans	1607	S	7	0	7	0.00000
Lactobacillus malefermentans	176292	S	6	0	6	0.00000
Lactobacillus mucosae	97478	S	5	0	5	0.00000
Lactobacillus ruminis	1623	S	5	0	5	0.00000
Lactobacillus iners	147802	S	5	0	5	0.00000
Lactobacillus fuchuensis	164393	S	5	0	5	0.00000
Lactobacillus terrae	2269374	S	4	0	4	0.00000
Lactobacillus jensenii	109790	S	4	2	6	0.00000
Lactobacillus amylovorus	1604	S	4	0	4	0.00000
Lactobacillus dextrinicus	51664	S	3	0	3	0.00000
Lactobacillus paralimentarius	83526	S	3	0	3	0.00000
Lactobacillus johnsonii	33959	S	3	0	3	0.00000
Lactobacillus amylophilus	1603	S	3	0	3	0.00000
Lactobacillus vaginalis	1633	S	3	0	3	0.00000
Lactobacillus murinus	1622	S	3	0	3	0.00000
Lactobacillus zymae	267363	S	2	0	2	0.00000
Lactobacillus oligofermentans	293371	S	2	0	2	0.00000
Lactobacillus acetotolerans	1600	S	2	0	2	0.00000
Lactobacillus futsaii	938155	S	2	0	2	0.00000
Lactobacillus nenjiangensis	1296540	S	2	0	2	0.00000
Lactobacillus fructivorans	1614	S	2	0	2	0.00000
Lactobacillus acidipiscis	89059	S	2	0	2	0.00000
Lactobacillus parabuchneri	152331	S	2	0	2	0.00000
Lactobacillus curvatus	28038	S	2	0	2	0.00000
Lactobacillus rhamnosus	47715	S	2	0	2	0.00000
Lactobacillus lindneri	53444	S	2	0	2	0.00000
Lactobacillus paragasseri	2107999	S	1	0	1	0.00000
Lactobacillus curieae	1138822	S	1	0	1	0.00000
Lactobacillus hokkaidonensis	1193095	S	1	0	1	0.00000
Lactobacillus kullabergensis	1218493	S	1	0	1	0.00000
Lactobacillus farciminis	1612	S	1	0	1	0.00000
Lactobacillus graminis	60519	S	1	0	1	0.00000
Lactobacillus paraplantarum	60520	S	1	0	1	0.00000
Lactobacillus amylolyticus	83683	S	1	0	1	0.00000
Lactobacillus kunkeei	148814	S	1	0	1	0.00000
Pediococcus acidilactici	1254	S	22	0	22	0.00001
Pediococcus pentosaceus	1255	S	15	0	15	0.00000
Pediococcus damnosus	51663	S	11	1	12	0.00000
Pediococcus inopinatus	114090	S	2	0	2	0.00000
Enterococcus faecalis	1351	S	246177	7204	253381	0.06417
Enterococcus faecium	1352	S	284	172	456	0.00012
Enterococcus avium	33945	S	89	1	90	0.00002
Enterococcus mundtii	53346	S	27	0	27	0.00001
Enterococcus sp. DA9	2603296	S	10	11	21	0.00001
Enterococcus wangshanyuanii	2005703	S	7	0	7	0.00000
Enterococcus hirae	1354	S	6	0	6	0.00000
Enterococcus saigonensis	1805431	S	5	0	5	0.00000
Enterococcus durans	53345	S	3	0	3	0.00000
Enterococcus gilvus	160453	S	3	0	3	0.00000
Enterococcus cecorum	44008	S	2	0	2	0.00000
Enterococcus thailandicus	417368	S	1	0	1	0.00000
Tetragenococcus koreensis	290335	S	12	2	14	0.00000
Tetragenococcus halophilus	51669	S	11	1	12	0.00000
Tetragenococcus osmophilus	526944	S	5	2	7	0.00000
Vagococcus sp. HDW17A	2714946	S	4	0	4	0.00000
Vagococcus sp. HDW17B	2714947	S	4	0	4	0.00000
Vagococcus sp. CF-49	2562451	S	2	1	3	0.00000
Vagococcus penaei	633807	S	2	0	2	0.00000
Melissococcus plutonius	33970	S	14	0	14	0.00000
Streptococcus pyogenes	1314	S	130	2	132	0.00003
Streptococcus thermophilus	1308	S	128	34	162	0.00004
Streptococcus suis	1307	S	67	0	67	0.00002
Streptococcus agalactiae	1311	S	26	22	48	0.00001
Streptococcus constellatus	76860	S	20	180	200	0.00005
Streptococcus intermedius	1338	S	2	0	2	0.00000
Streptococcus oralis	1303	S	21	0	21	0.00001
Streptococcus salivarius	1304	S	15	0	15	0.00000
Streptococcus sp. A12	1759399	S	6	0	6	0.00000
Streptococcus sp. Z15	2173853	S	3	0	3	0.00000
Streptococcus pneumoniae	1313	S	9	2	11	0.00000
Streptococcus dysgalactiae	1334	S	6	0	6	0.00000
Streptococcus gordonii	1302	S	4	0	4	0.00000
Streptococcus sobrinus	1310	S	4	0	4	0.00000
Streptococcus ratti	1341	S	4	0	4	0.00000
Streptococcus mitis	28037	S	4	0	4	0.00000
Streptococcus gwangjuense	1433513	S	3	0	3	0.00000
Streptococcus pantholopis	1811193	S	2	0	2	0.00000
Streptococcus iniae	1346	S	2	0	2	0.00000
Streptococcus gallolyticus	315405	S	1	0	1	0.00000
Streptococcus sanguinis	1305	S	1	0	1	0.00000
Streptococcus macedonicus	59310	S	1	0	1	0.00000
Streptococcus cristatus	45634	S	1	0	1	0.00000
Streptococcus marmotae	1825069	S	1	0	1	0.00000
Streptococcus equinus	1335	S	1	0	1	0.00000
Streptococcus canis	1329	S	1	0	1	0.00000
Lactococcus lactis	1358	S	10	15	25	0.00001
Lactococcus piscium	1364	S	5	3	8	0.00000
Lactococcus sp. 1JSPR-7	2419773	S	2	1	3	0.00000
Lactococcus raffinolactis	1366	S	1	1	2	0.00000
Dolosigranulum pigrum	29394	S	21	0	21	0.00001
Carnobacterium maltaromaticum	2751	S	15	0	15	0.00000
Carnobacterium sp. CP1	1564681	S	3	0	3	0.00000
Carnobacterium inhibens	147709	S	1	0	1	0.00000
Jeotgalibaca porci	1868793	S	2	1	3	0.00000
Marinilactibacillus sp. 15R	1911586	S	2	0	2	0.00000
Weissella hellenica	46256	S	4	1	5	0.00000
Weissella cibaria	137591	S	3	1	4	0.00000
Weissella soli	155866	S	3	0	3	0.00000
Weissella koreensis	165096	S	2	0	2	0.00000
Weissella cryptocerci	2506420	S	2	0	2	0.00000
Weissella ceti	759620	S	1	0	1	0.00000
Weissella jogaejeotgali	1631871	S	1	0	1	0.00000
Weissella sp. HDW19	2714949	S	1	0	1	0.00000
Leuconostoc mesenteroides	1245	S	7	3	10	0.00000
Leuconostoc gelidum	1244	S	1	0	1	0.00000
Oenococcus oeni	1247	S	2	0	2	0.00000
Oenococcus sicerae	2203724	S	1	0	1	0.00000
Oenococcus sp. UCMA 16435	2259623	S	1	0	1	0.00000
Aerococcus urinaehominis	128944	S	13	3	16	0.00000
Aerococcus christensenii	87541	S	3	0	3	0.00000
Aerococcus sanguinicola	119206	S	3	0	3	0.00000
Aerococcus urinae	1376	S	1	0	1	0.00000
Abiotrophia defectiva	46125	S	6	0	6	0.00000
Suicoccus acidiformans	2036206	S	1	0	1	0.00000
Clostridium aceticum	84022	S	29	1	30	0.00001
Clostridium sp. DL-VIII	641107	S	9	1	10	0.00000
Clostridium sp. AWRP	2212991	S	1	0	1	0.00000
Clostridium tetani	1513	S	9	0	9	0.00000
Clostridium carboxidivorans	217159	S	8	1	9	0.00000
Clostridium botulinum	1491	S	3	1	4	0.00000
Clostridium perfringens	1502	S	1	0	1	0.00000
Clostridium butyricum	1492	S	1	0	1	0.00000
Crassaminicella sp. SY095	2599308	S	2	0	2	0.00000
Symbiobacterium thermophilum	2734	S	29	0	29	0.00001
Flavonifractor plautii	292800	S	7	0	7	0.00000
Ruminococcus sp. JE7A12	2564099	S	4	0	4	0.00000
Ruminococcus champanellensis	1161942	S	2	0	2	0.00000
Faecalibacterium prausnitzii	853	S	5	0	5	0.00000
[Eubacterium] cellulosolvens	29322	S	4	0	4	0.00000
Acetobacterium woodii	33952	S	1	0	1	0.00000
Carboxydocella thermautotrophica	178899	S	9	0	9	0.00000
Desulfitobacterium metallireducens	142877	S	2	1	3	0.00000
Desulfosporosinus meridiei	79209	S	1	1	2	0.00000
Desulfotomaculum reducens	59610	S	1	0	1	0.00000
Thermincola potens	863643	S	1	0	1	0.00000
Desulfallas gibsoniae	102134	S	1	0	1	0.00000
Roseburia hominis	301301	S	3	0	3	0.00000
Roseburia intestinalis	166486	S	1	0	1	0.00000
Lachnospira eligens	39485	S	2	0	2	0.00000
Lachnoclostridium sp. YL32	1834196	S	1	0	1	0.00000
Heliobacterium modesticaldum	35701	S	3	0	3	0.00000
Heliorestis convoluta	356322	S	3	0	3	0.00000
Clostridioides difficile	1496	S	5	45	50	0.00001
Acetoanaerobium sticklandii	1511	S	1	0	1	0.00000
Christensenella minuta	626937	S	5	0	5	0.00000
Christensenella sp. Marseille-P3954	2086585	S	1	0	1	0.00000
Clostridiales bacterium CCNA10	2109688	S	1	0	1	0.00000
Carboxydothermus hydrogenoformans	129958	S	20	0	20	0.00001
Thermoanaerobacter wiegelii	46354	S	2	0	2	0.00000
Caldicellulosiruptor obsidiansis	717609	S	9	0	9	0.00000
Mahella australiensis	252966	S	3	0	3	0.00000
Erysipelothrix sp. 15TAL0474	2485784	S	1	4	5	0.00000
Intestinibaculum porci	2487118	S	1	2	3	0.00000
Parvimonas micra	33033	S	3	0	3	0.00000
Murdochiella vaginalis	1852373	S	2	0	2	0.00000
Peptoniphilus harei	54005	S	1	0	1	0.00000
Ezakiella massiliensis	1852374	S	1	0	1	0.00000
Selenomonas sp. oral taxon 478	712538	S	1	0	1	0.00000
Acidaminococcus fermentans	905	S	1	0	1	0.00000
Limnochorda pilosa	1555112	S	1	0	1	0.00000
Cutibacterium acnes	1747	S	17655	423	18078	0.00458
Cutibacterium granulosum	33011	S	825	83	908	0.00023
Cutibacterium avidum	33010	S	35	2	37	0.00001
Microlunatus sp. Gsoil 973	2672569	S	49	0	49	0.00001
Microlunatus soli	630515	S	5	0	5	0.00000
Microlunatus phosphovorus	29405	S	2	0	2	0.00000
Acidipropionibacterium jensenii	1749	S	4	1	5	0.00000
Acidipropionibacterium virtanenii	2057246	S	4	0	4	0.00000
Acidipropionibacterium acidipropionici	1748	S	2	0	2	0.00000
Propionibacterium australiense	119981	S	9	0	9	0.00000
Propionibacterium freudenreichii	1744	S	1	0	1	0.00000
Tessaracoccus flavescens	399497	S	8	2	10	0.00000
Tessaracoccus aquimaris	1332264	S	2	0	2	0.00000
Propioniciclava sp. HDW11	2714937	S	2	0	2	0.00000
Nocardioides sp. HY056	2500546	S	18	3	21	0.00001
Nocardioides sp. CF8	110319	S	10	1	11	0.00000
Nocardioides sp. KUDC 5002	2589074	S	10	0	10	0.00000
Nocardioides sp. 78	2045452	S	7	0	7	0.00000
Nocardioides sp. 603	2483798	S	7	1	8	0.00000
Nocardioides sp. JS614	196162	S	6	0	6	0.00000
Nocardioides sp. R-3366	2712223	S	6	0	6	0.00000
Nocardioides sp. dk3136	2575373	S	5	0	5	0.00000
Nocardioides sp. S-1144	2582905	S	4	0	4	0.00000
Nocardioides sp. SB3-45	2558918	S	3	0	3	0.00000
